1074,0,2,316
1076,0,1,317
1077,0,3,310
1079,0,2,287
1080,0,3,259
1082,0,5,232
1084,-2,6,195
1085,1,2,152
1087,0,3,122
1088,0,4,90
1090,0,2,66
1091,2,3,42
1093,0,5,24
1094,2,4,8
1096,1,3,0
1098,3,4,-7
1099,2,5,-13
1101,0,6,-17
1102,2,6,-11
1104,1,3,-3
1105,0,5,6
1107,0,4,23
1108,0,5,46
1111,0,4,73
1112,1,3,102
1114,0,2,137
1115,0,2,170
1117,1,5,211
1119,1,5,246
1120,0,1,278
1122,1,2,298
1123,0,3,316
1125,0,4,318
1127,0,3,306
1128,0,3,291
1130,0,3,267
1131,1,1,232
1133,0,4,196
1135,0,2,164
1136,-2,4,124
1138,0,4,95
1139,0,10,69
1141,0,5,46
1143,1,2,26
1144,1,4,9
1146,1,3,2
1147,1,6,-6
1149,2,3,-10
1150,1,4,-11
1153,4,3,-12
1154,1,5,-3
1156,0,6,4
1157,0,3,22
1159,0,4,41
1160,0,7,67
1162,0,3,97
1163,-2,4,130
1165,0,3,167
1167,0,4,205
1168,0,2,240
1170,0,1,270
1171,0,3,296
1173,0,3,313
1175,0,2,318
1176,-2,4,312
1178,-2,2,295
1179,0,3,267
1181,0,2,237
1183,0,3,203
1184,0,2,169
1186,-4,3,129
1187,0,3,97
1189,0,2,72
1191,1,4,49
1192,0,5,32
1195,0,6,18
1196,0,6,1
1198,3,3,-4
1199,1,6,-11
1201,2,6,-13
1202,4,6,-14
1204,0,7,-4
1205,0,4,4
1207,1,4,21
1208,0,5,38
1210,0,5,64
1211,1,4,96
1213,0,6,121
1215,0,4,163
1216,0,3,197
1218,1,0,235
1219,1,2,266
1221,0,2,294
1223,0,4,309
1224,0,1,319
1226,0,3,315
1227,-2,2,293
1229,0,1,273
1231,0,1,245
1232,0,3,208
1234,-2,3,174
1235,0,4,138
1238,0,3,110
1240,0,4,74
1241,0,5,51
1243,2,1,32
1244,0,4,16
1246,2,3,5
1247,1,6,-4
1249,0,5,-10
1250,3,5,-14
1252,1,5,-12
1253,0,7,-8
1255,0,3,5
1256,1,4,16
1258,1,4,37
1259,0,3,59
1261,1,3,91
1263,0,4,115
1264,0,3,157
1266,1,3,194
1267,0,1,233
1269,0,1,264
1271,-3,0,291
1272,0,3,311
1274,0,4,320
1275,1,1,314
1277,-2,1,301
1280,0,3,274
1281,1,1,248
1283,0,1,213
1284,0,3,177
1286,0,3,144
1288,0,2,113
1289,0,3,79
1291,0,3,59
1292,0,7,39
1294,0,5,19
1295,1,4,9
1297,1,4,-7
1298,1,2,-9
1300,2,5,-12
1301,0,7,-12
1303,0,5,-9
1304,0,6,0
1306,0,4,11
1307,1,1,28
1309,0,2,52
1311,0,3,80
1312,1,3,111
1314,0,2,145
1315,0,2,190
1317,0,4,224
1318,0,2,258
1320,0,3,288
1323,0,3,305
1324,1,4,317
1326,0,2,316
1327,0,2,305
