,3,153
1356,0,4,130
1357,1,2,121
1359,0,4,111
1361,0,3,96
1362,1,3,96
1364,0,1,90
1366,0,3,84
1368,1,3,82
1369,0,4,81
1371,0,4,85
1372,1,4,86
1374,0,4,86
1375,2,3,96
1377,0,3,102
1379,0,4,108
1380,0,3,120
1382,0,4,133
1383,0,6,142
1385,0,5,152
1387,1,4,163
1388,0,1,169
1390,0,7,177
1391,0,4,179
1393,0,3,185
1395,0,1,182
1396,0,5,179
1398,0,3,171
1399,0,1,166
1401,0,5,159
1403,0,5,149
1404,0,2,136
1406,0,1,126
1408,0,4,116
1410,0,2,110
1412,0,2,97
1413,2,4,95
1415,0,6,93
1416,0,3,88
1418,0,2,80
1419,0,3,80
1421,0,4,80
1422,0,5,87
1424,0,6,91
1425,0,5,96
1427,1,4,101
1429,2,2,110
1430,1,4,124
1432,0,5,135
1433,1,2,143
1435,0,6,153
1437,0,4,161
1438,0,1,172
1440,0,3,175
1441,0,5,179
1443,0,6,182
1445,0,4,182
1446,0,3,176
1448,0,1,173
1449,0,5,167
1452,1,3,159
1454,0,3,148
1455,0,4,135
1457,0,2,126
1458,0,3,115
1460,0,3,107
1462,0,3,101
1463,1,3,96
1465,0,6,86
1466,0,4,83
1468,0,4,81
1469,0,4,80
1471,1,3,81
1472,0,4,84
1474,0,5,92
1475,0,4,98
1477,1,2,106
1479,1,2,117
1480,2,1,123
1482,0,6,135
1483,0,6,144
1485,1,2,156
1487,0,3,164
1488,1,4,173
1490,0,1,180
1491,1,1,185
1494,1,3,183
1496,0,2,182
1497,0,2,177
1499,0,3,171
1500,0,4,164
1502,0,4,155
1504,0,3,146
1505,2,3,137
1507,0,3,123
1508,1,5,116
1510,1,1,108
1512,0,4,96
1513,0,4,93
1515,0,5,92
1516,-3,4,83
1518,0,2,81
1519,0,5,80
1521,0,3,83
1522,1,4,85
1524,1,5,92
1525,0,5,95
1527,0,5,103
1529,0,5,115
1530,0,4,127
1532,0,4,135
1533,0,2,148
1536,0,2,159
1538,0,3,165
1539,0,3,174
1541,0,3,180
1542,0,4,184
1544,0,6,182
1546,0,3,184
1547,0,2,177
1549,0,2,171
1550,-2,4,164
1552,0,6,153
1554,1,1,145
1555,0,2,135
1557,0,5,127
1558,0,3,116
1560,0,3,105
1562,0,2,96
1563,0,4,94
1565,2,4,88
1566,0,4,82
1568,0,3,80
1569,0,7,82
1571,1,3,84
1572,3,3,87
1574,1,2,93
1575,0,3,96
1577,1,6,105
1580,2,5,114
1581,0,6,126
1583,-2,6,138
1584,0,5,149
1586,0,4,160
1588,0,3,164
1589,0,3,174
1591,0,1,179
1592,0,4,181
1594,1,2,185
1596,0,4,180
1597,0,4,176
1599,0,1,171
1600,0,5,162
1602,0,5,155
1603,1,4,142
1605,0,3,134
