
,1,309
2074,-2,2,347
2076,0,4,339
2078,0,2,316
2079,-2,3,287
2081,0,1,253
2082,0,2,212
2084,1,2,174
2085,0,4,135
2087,0,2,103
2089,0,1,65
2091,0,2,44
2093,0,5,22
2094,0,7,5
2096,0,6,-9
2097,0,4,-18
2099,0,5,-26
2100,0,5,-27
2102,2,4,-28
2104,1,5,-20
2105,3,5,-13
2107,0,4,4
2108,0,4,28
2110,0,4,52
2111,0,4,85
2113,1,3,124
2114,0,2,161
2116,1,3,208
2118,0,2,246
2119,0,3,286
2121,0,2,317
2122,0,2,334
2124,0,1,348
2126,0,1,338
2127,-3,3,320
2129,1,0,288
2130,0,1,256
2132,0,4,215
2135,0,4,179
2136,0,3,140
2138,0,4,94
2139,0,4,68
2141,1,4,40
2142,0,4,26
2144,3,2,2
2145,1,4,-7
2147,2,4,-19
2148,0,3,-24
2150,1,3,-30
2152,2,5,-26
2153,1,5,-23
2155,0,4,-14
2156,0,7,2
2158,1,4,22
2159,0,3,49
2161,-2,4,81
2162,0,5,116
2164,0,3,159
2166,0,1,199
2167,0,4,242
2169,0,2,282
2170,1,2,316
2172,0,3,336
2174,0,2,345
2176,0,2,341
2178,0,4,324
2179,0,4,297
2181,0,2,263
2183,0,1,222
2184,0,3,186
2186,0,1,137
2187,-3,3,104
2189,0,2,68
2191,0,4,42
2192,0,5,22
2194,0,6,4
2195,2,3,-6
2197,1,5,-22
2198,1,4,-26
2200,4,3,-31
2201,0,4,-27
2203,2,6,-23
2204,2,7,-15
2206,0,5,-2
2207,0,4,20
2209,0,6,44
2210,1,3,75
2212,0,5,114
2214,0,5,152
2215,0,3,194
2217,0,2,239
2219,0,3,275
2221,0,1,316
2223,0,0,336
2224,1,1,343
2226,0,1,341
2227,0,2,326
2229,0,2,298
2231,0,2,266
2232,1,2,228
2234,0,4,179
2235,0,3,138
2237,-3,4,107
2239,0,3,74
2240,0,3,46
2242,0,3,24
2243,2,5,7
2245,1,4,-10
2246,0,7,-20
2248,2,1,-23
2249,2,5,-26
2251,1,5,-28
2252,2,5,-24
2254,3,5,-17
2256,0,4,-2
2257,0,6,16
2259,0,6,41
2260,0,4,71
2263,0,5,105
2264,2,2,148
2266,1,1,187
2267,0,5,240
2269,-2,4,279
2271,0,0,310
2272,0,2,333
2274,0,0,343
2275,0,0,342
2277,0,0,329
2279,0,4,303
2280,0,2,265
2282,0,5,226
2283,-2,3,186
2285,-2,3,148
2287,0,3,112
2288,0,4,79
2290,1,4,54
2291,1,3,28
2293,0,4,10
2294,0,4,-7
2296,1,6,-17
2298,0,5,-24
2299,0,6,-29
2301,1,6,-28
2302,0,6,-24
2305,0,4,-13
2306,2,5,-5
2308,0,3,18
2309,0,3,40
2311,0,3,72
2312,0,4,104
2314,0,3,150
2316,0,3,192
2317,0,6,234
2319,0,3,273
2320,0,2,306
2322,0,2,331
2324,0,2,345
2325,0,1,339
2327,2,2,326
2328,0,1,301
2330,0,1,270
2332,0,3,234
2333,1,2,190
2335,0,2,152
2336,0,4,112
2338,0,3,77
2339,0,3,48
2341,0,3,32
2343,0,4,12
2344,1,5,-4
2347,2,6,-17
2348,0,3,-24
2350,2,4,-27
2351,1,4,-29
2353,0,6,-22
2354,0,6,-19
2356,1,5,-3
2357,1,5,14
2359,0,3,40
2361,0,4,74
2362,0,6,102
2364,1,2,143
2365,0,5,190
2367,0,1,230
2368,0,1,269
2370,0,1,301
2372,1,2,335
2373,0,2,345
2375,0,1,340
2376,0,2,328
2378,-3,3,305
2380,0,0,274
2381,0,1,236
2383,0,0,190
2384,0,4,150
2386,0,4,112
2388,0,2,81
2390,2,1,54
2392,0,3,28
2393,1,5,10
2395,0,7,-5
2396,1,5,-15
2398,1,3,-24
2399,1,3,-30
2401,1,4,-27
2403,0,7,-23
2404,2,6,-16
2406,1,6,-6
2407,1,6,12
2409,1,3,35
2410,0,6,65
2412,0,7,97
2413,0,0,142
2415,2,2,183
2417,0,0,233
2418,0,1,273
2420,1,3,304
2421,0,3,329
2423,1,4,343
2425,1,1,345
2426,0,1,332
2428,0,3,310
2429,1,2,272
2432,1,1,233
2434,1,1,194
2435,0,4,154
2437,1,4,119
2438,0,1,87
2440,1,0,59
2441,0,4,32
2443,0,6,14
2444,0,7,-7
2446,0,3,-14
2448,2,5,-23
2449,0,3,-29
2451,2,5,-31
2452,1,7,-25
2454,0,6,-20
2455,0,5,-5
